Time;Temp Winding;Mvar;MW
21/01/2025 11.17;70,18315125;36,47546387;127,5397491
21/01/2025 11.18;70,22628784;36,83216858;127,5653305
21/01/2025 11.19;70,18315125;34,14189529;125,2560806
21/01/2025 11.20;70,23199463;34,06101227;126,3871613
21/01/2025 11.21;70,16236877;34,84246826;125,2398834
21/01/2025 11.22;70,16197968;36,67946243;126,9546051
21/01/2025 11.23;70,13431549;36,14400101;126,6448975
21/01/2025 11.24;70,16902924;36,51898575;129,6953125
21/01/2025 11.25;70,19708252;33,34043884;127,2447128
21/01/2025 11.26;70,16178131;35,82348633;125,2134857
21/01/2025 11.27;70,16970062;32,91814041;126,6847076
21/01/2025 11.28;70,20394135;36,17197037;127,3137054
21/01/2025 11.29;70,14814758;34,84153748;126,5076904
21/01/2025 11.30;70,23199463;32,85168839;127,0149918
21/01/2025 11.31;70,23199463;33,85696793;127,1267624
21/01/2025 11.32;70,21781921;32,5381279;123,7260132
21/01/2025 11.33;70,18315125;33,36754227;123,2254562
21/01/2025 11.34;70,18315125;31,24616051;123,158165
21/01/2025 11.35;70,08547211;33,58081818;124,0087128
21/01/2025 11.36;70,02255249;32,93553543;126,8201523
21/01/2025 11.37;70,0579071;33,15257263;127,4858704
21/01/2025 11.38;69,96607971;32,23509598;127,6738129
21/01/2025 11.39;70,00196838;31,57643509;126,9552536
21/01/2025 11.40;70,03662872;33,53553009;127,007164
21/01/2025 11.41;70,02957916;31,61611366;128,9887695
21/01/2025 11.42;70,08547211;30,47938156;127,1339111
21/01/2025 11.43;70,07695007;27,55908966;124,7426224
21/01/2025 11.44;70,16912842;30,58124733;125,9085693
21/01/2025 11.45;70,14195251;29,42836189;125,4368439
21/01/2025 11.46;70,12077332;28,90236664;124,302948
21/01/2025 11.47;70,03662872;26,30331612;122,8217392
21/01/2025 11.48;69,97396088;27,65691757;123,6204987
21/01/2025 11.49;69,91738129;26,03744316;126,1231308
21/01/2025 11.50;69,89011383;29,23205185;126,5044327
21/01/2025 11.51;69,8760376;26,6475296;120,4041748
21/01/2025 11.52;69,79243469;25,41133308;123,63797
21/01/2025 11.53;69,77874756;25,4093914;111,9569626
21/01/2025 11.54;69,67279053;23,61860657;100,8338089
21/01/2025 11.55;69,41568756;20,80406761;81,83626556
21/01/2025 11.56;69,04605103;24,65221977;89,42986298
21/01/2025 11.57;68,52259064;28,46836853;116,3108292
21/01/2025 11.58;68,15255737;22,34057426;110,267662
21/01/2025 11.59;68,02030945;19,89438057;80,62810516
21/01/2025 12.00;67,60831451;22,4731369;97,56745148
21/01/2025 12.01;67,33674622;20,28822708;96,07209015
21/01/2025 12.02;66,92432404;21,72085953;95,90818787
21/01/2025 12.03;66,66667175;20,56456184;104,0044327
21/01/2025 12.04;66,43624878;22,80287361;106,8358841
21/01/2025 12.05;66,24069977;22,5764389;109,4240112
21/01/2025 12.06;66,11552429;19,90899086;107,1823807
21/01/2025 12.07;66,03174591;22,87628174;109,0168915
21/01/2025 12.08;66,01027679;23,87705421;110,676033
21/01/2025 12.09;65,99713135;23,76432037;118,005249
21/01/2025 12.10;66,00379181;23,78094673;126,8752899
21/01/2025 12.11;66,14345551;23,80647659;127,4399796
21/01/2025 12.12;66,40868378;24,86606407;133,7470093
21/01/2025 12.13;66,66667175;28,70542145;137,5634766
21/01/2025 12.14;67,02267456;27,00059891;136,9942932
21/01/2025 12.15;67,35042572;22,54097176;112,7652664
21/01/2025 12.16;67,67862701;24,74051857;130,2631378
21/01/2025 12.17;67,81038666;26,32921982;133,5538177
21/01/2025 12.18;68,02021027;25,54714203;137,1529388
21/01/2025 12.19;68,34850311;26,56573486;140,7037048
21/01/2025 12.20;68,62026978;26,89761734;140,2767181
21/01/2025 12.21;68,96215057;26,5158596;140,7581024
21/01/2025 12.22;69,3875351;27,21379089;142,4024811
21/01/2025 12.23;69,64591217;25,60329819;142,3814087
21/01/2025 12.24;69,9312439;26,39474487;142,6335297
21/01/2025 12.25;70,316185;26,50143433;142,6890869
21/01/2025 12.26;70,58063507;27,01376534;142,6336517
21/01/2025 12.27;70,85303497;24,90194893;136,6846161
21/01/2025 12.28;71,1111145;26,35104942;121,2011871
21/01/2025 12.29;71,15995026;24,20209694;119,083931
21/01/2025 12.30;71,04138947;24,05596352;135,0661926
21/01/2025 12.31;70,99964905;24,94603348;122,8251266
21/01/2025 12.32;70,96459198;25,77522469;123,9393616
21/01/2025 12.33;70,85273743;25,06263161;124,9794769
21/01/2025 12.34;70,72039032;27,01363373;124,7260666
21/01/2025 12.35;70,60124207;26,49974442;126,1519699
21/01/2025 12.36;70,59583282;26,59628296;127,7887115
21/01/2025 12.37;70,48310089;27,57673454;128,6369781
21/01/2025 12.38;70,47618866;27,55638313;129,2705841
21/01/2025 12.39;70,42735291;29,39189339;129,3118744
21/01/2025 12.40;70,45550537;28,9225235;132,6223755
21/01/2025 12.41;70,49720001;30,7605629;132,480896
21/01/2025 12.42;70,47618866;28,66224289;132,727005
21/01/2025 12.43;70,51724243;29,79745674;131,3655243
21/01/2025 12.44;70,58809662;29,74843407;130,5106201
21/01/2025 12.45;70,72715759;27,39860153;127,2378006
21/01/2025 12.46;70,70661163;27,53007317;128,5027161
21/01/2025 12.47;70,67963409;29,03204346;129,8334045
21/01/2025 12.48;70,62271118;30,05298996;127,0279388
21/01/2025 12.49;70,57387543;29,21207428;119,5030746
21/01/2025 12.50;70,54650879;26,74756432;114,3058319
21/01/2025 12.51;70,37850952;27,82036209;116,1640854
21/01/2025 12.52;70,18315125;27,39142036;126,1184616
21/01/2025 12.53;69,98073578;30,22774887;126,9582977
21/01/2025 12.54;70,03662872;29,23259354;127,1633224
21/01/2025 12.55;70,02313995;29,91201019;127,629631
21/01/2025 12.56;69,98779297;29,95368958;130,4190063
21/01/2025 12.57;69,98779297;31,10898781;131,9475403
21/01/2025 12.58;70,03662872;31,55614853;132,1803284
21/01/2025 12.59;70,20375061;31,05264664;130,7135468
21/01/2025 13.00;70,23904419;31,760952;132,2243042
21/01/2025 13.01;70,3157959;33,01739883;132,9323273
21/01/2025 13.02;70,46250916;34,47565079;127,988327
21/01/2025 13.03;70,49040985;32,79251862;123,7439957
21/01/2025 13.04;70,52503204;35,67150497;124,6169968
21/01/2025 13.05;70,49746704;31,37634277;127,390152
21/01/2025 13.06;70,42735291;34,86083984;129,2967072
21/01/2025 13.07;70,51095581;36,08546066;130,0162964
21/01/2025 13.08;70,47618866;36,08169937;132,0209198
21/01/2025 13.09;70,45471954;36,27104187;133,8147125
21/01/2025 13.10;70,65733337;37,95944595;134,8399658
21/01/2025 13.11;70,82487488;38,29958725;134,5823517
21/01/2025 13.12;70,91575623;36,09869766;129,1622772
21/01/2025 13.13;70,91575623;37,05394745;129,0868988
21/01/2025 13.14;70,97817993;39,11473465;129,1157227
21/01/2025 13.15;71,01343536;36,31616592;129,0945435
21/01/2025 13.16;71,03451538;38,94062424;126,9695053
21/01/2025 13.17;71,05387878;38,9009552;127,0472565
21/01/2025 13.18;71,01343536;39,44631577;125,2506256
21/01/2025 13.19;71,04824829;38,74032974;125,3675003
21/01/2025 13.20;70,96459198;41,96459198;127,9144592
21/01/2025 13.21;70,91575623;42,51041031;130,9926453
21/01/2025 13.22;70,96459198;41,07880402;133,5497284
21/01/2025 13.23;71,03411865;40,83141327;147,3694153
21/01/2025 13.24;71,25762939;43,2805748;160,9254303
21/01/2025 13.25;71,59951019;41,82536316;157,6804962
21/01/2025 13.26;72,08791351;38,32796097;134,1954498
21/01/2025 13.27;72,4786377;40,51554108;132,4397736
21/01/2025 13.28;72,57631683;37,68633652;145,8467255
21/01/2025 13.29;72,75818634;38,1646843;125,9519424
21/01/2025 13.30;72,75098419;39,26836395;128,0428772
21/01/2025 13.31;72,7088089;35,25004196;134,5298157
21/01/2025 13.32;72,68772888;37,63644028;124,6583557
21/01/2025 13.33;72,66040802;34,28575897;124,6958313
21/01/2025 13.34;72,51335144;39,23022079;126,324646
21/01/2025 13.35;72,34594727;36,96687698;126,9128876
21/01/2025 13.36;72,19927979;38,38034439;124,6591034
21/01/2025 13.37;72,01603699;35,80859756;124,5748749
21/01/2025 13.38;71,94139099;36,54867935;124,7158661
21/01/2025 13.39;71,76741028;36,23829269;123,4307251
21/01/2025 13.40;71,61305237;37,02783966;123,2014389
21/01/2025 13.41;71,50183105;34,77899933;123,6368408
21/01/2025 13.42;71,34128571;34,27527237;123,4432144
21/01/2025 13.43;71,29264069;35,04379272;123,266983
21/01/2025 13.44;71,1111145;34,58116913;121,2390976
21/01/2025 13.45;70,92987823;35,5579567;120,8959961
21/01/2025 13.46;70,90182495;35,30902863;121,2917252
21/01/2025 13.47;70,78291321;35,32906342;121,3702316
21/01/2025 13.48;70,64457703;36,76150513;123,3445892
21/01/2025 13.49;70,57387543;36,86054993;124,9457245
21/01/2025 13.50;70,44113159;35,9583931;124,9748077
21/01/2025 13.51;70,39211273;35,95278931;124,9998398
21/01/2025 13.52;70,35675049;37,89627457;126,1134262
21/01/2025 13.53;70,37850952;35,46447372;126,2429352
21/01/2025 13.54;70,37850952;35,88085175;125,5893097
21/01/2025 13.55;70,37850952;37,5209198;125,5945206
21/01/2025 13.56;70,36506653;36,29417038;125,1948166
