TANGGAL;MW_3;PF_3;AMP_3;VOLT_3;MVAR_3;FREQ_3;W_GEN3A;W_GEN3B;W_GEN3C;TC3_IN1;TC3_OUT2
01/01/2025 00:30:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 01:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 01:30:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 02:00:00;0,00;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 02:30:01;0,01;0;-0,01;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 03:00:00;0,01;0;-0,01;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 03:30:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 04:00:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 04:30:00;0,01;0;0,00;-0,01;-0,02;13,31;38;40;41;37;36
01/01/2025 05:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 05:30:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 06:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 06:30:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 07:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 07:30:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 08:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 08:30:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 09:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 09:30:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 10:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 10:30:00;0,01;0;-0,01;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 11:00:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 11:30:00;0,00;0;-0,00;-0,01;-0,01;13,29;38;40;41;37;36
01/01/2025 12:00:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 12:30:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 13:00:00;0,01;0;-0,00;-0,01;-0,02;13,29;38;40;41;37;36
01/01/2025 13:30:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;40;41;37;36
01/01/2025 14:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;40;37;36
01/01/2025 14:30:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;39;40;37;36
01/01/2025 15:00:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;40;40;37;36
01/01/2025 15:30:00;0,00;0;-0,00;-0,01;-0,01;13,29;38;39;40;37;36
01/01/2025 16:00:00;0,00;0;-0,01;-0,01;-0,01;13,29;38;39;41;37;36
01/01/2025 16:30:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;39;41;37;36
01/01/2025 17:00:00;0,01;0;-0,01;-0,01;-0,01;13,31;38;39;40;37;36
01/01/2025 17:30:00;0,01;0;0,00;-0,01;-0,01;13,29;38;39;40;37;36
01/01/2025 18:00:00;0,01;0;-0,00;-0,01;-0,01;13,31;38;39;40;37;36
01/01/2025 18:30:00;0,01;0;-0,00;-0,01;-0,01;13,29;38;39;40;37;36
01/01/2025 19:00:00;0,01;0;0,00;-0,01;-0,01;13,29;38;39;40;37;36
